# Startup Sentinel RMS License Manager v8.6.0.0054 Tue May 16 06:17:28 2017  1494926248 Win64 0 3520
2 2 MTg3ODY= Tue May 16 07:06:31 2017  1494929191 SOADevelopment v6.0 0 1 0 SYSTEM Win64 8.6.0.0054 1 - - - - - - 0 - - - MA== 1080001 MTQ5NjAwOTE5Mg==
2 2 MTg3ODY= Tue May 16 07:36:55 2017  1494931015 SolarNativeChecker v1.0 0 1 0 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - MQ== 1658797 MjczODc5OA==
2 2 MTg3ODY= Tue May 16 07:38:32 2017  1494931112 SolarVisualStudio2010 v1.0 0 1 0 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - Mg== 280572 MTkzOTM2OQ==
2 2 MTg3ODY= Tue May 16 07:39:49 2017  1494931189 SolarNativeRuntime v1.0 0 1 0 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - Mw== 4272438 NDU1MzAxMA==
2 2 MTg3ODY= Tue May 16 07:41:10 2017  1494931075 SolarNativeChecker v1.0 2 0 60 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - NA== 640713 NDkxMzE1MQ==
2 2 MTg3ODY= Tue May 16 12:26:56 2017  1494931489 SolarNativeRuntime v1.0 2 0 300 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - NQ== 215516 ODU2MjI5
2 2 MTg3ODY= Tue May 16 12:27:04 2017  1494931412 SolarVisualStudio2010 v1.0 2 0 300 MicroFocus Win64 8.6.0.0054 1 - - - - - - 0 - - - Ng== 498958 NzE0NDc0
2 2 MTg3ODY= Tue May 16 13:24:32 2017  1494929491 SOADevelopment v6.0 2 0 300 SYSTEM Win64 8.6.0.0054 1 - - - - - - 0 - - - Nw== 2087537 MjU4NjQ5NQ==
# Shutdown Sentinel RMS License Manager v8.6.0.0054 Tue May 16 13:24:32 2017  1494951872 Win64 3520 OA== 613064
# Startup Sentinel RMS License Manager v8.6.0.0054 Tue May 16 13:35:16 2017  1494952516 Win64 1 1912
